Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
biostratigraphie | ÉCRITURE  DE LA VIE DE LA STRATE | graphie - bio - strati | grapho - bio+strato (stratus)
biostratigraphique | ÉCRITURE  DE LA VIE DE LA STRATE | graphique - bio - strati | grapho - bio+strato (stratus)
biotechnologie | ÉTUDE  DE LA VIE DE LA TECHNIQUE | logie - bio - techno | logo - bio+
biotechnologique | ÉTUDE  DE LA VIE DE LA TECHNIQUE | logique - bio - techno | logo - bio+
biotransforme | FORME  DE LA VIE DU PASSAGE À TRAVERS / AU-DELÀ | forme - bio - trans | forme - bio+trans : passage
biotypologie | ÉTUDE  DE LA VIE DE L'EMPREINTE | logie - bio - typo | logo - bio+
biotypologique | ÉTUDE  DE LA VIE DE L'EMPREINTE | logique - bio - typo | logo - bio+
biotypologiste | SPÉCIALISTE  DE LA VIE DE L'EMPREINTE | logiste - bio - typo | logo - bio+
bisazoïque | ANIMAL  DOUBLE SANS | zoïque - bis - a |  - bi+a
biunivoque | SENS  DOUBLE UN(E) | voque - bi - uni | voque - bi+
blastomycétique | À PROPOS  DU GERME DU CHAMPIGNON | ique - blasto - mycét |  - +
bronchoégophonie | VOIX  DE LA BRONCHE DU MOI | phonie - broncho - égo |  - +
bronchopneumopathie | MALADIE  DE LA BRONCHE DU POUMON | pathie - broncho - pneumo | patho (souffrance) - +
carbogénothérapie | MÉDECINE  DU CHARBON DE LA RACE | thérapie - carbo - géno | thérapie - carbo+gène
carboxylation | ACTION  DU CHARBON DU BOIS | ation - carbo - xyl | ation - carbo+xylo
carboxylique | À PROPOS  DU CHARBON DU BOIS | ique - carbo - xyl |  - carbo+xylo
cardiatomie | DÉCOUPE  DU CŒUR SANS | tomie - cardi - a | tomo - +a
cardiodiagramme | ÉCRITURE  DU CŒUR À TRAVERS | gramme - cardio - dia | gramma - +
cardiodiagraphie | ÉCRITURE  DU CŒUR À TRAVERS | graphie - cardio - dia | grapho - +
cardiomyopathie | MALADIE  DU CŒUR DE LA SOURIS -> DU MUSCLE | pathie - cardio - myo | patho (souffrance) - +
cardiomyopexie | FIXATION  DU CŒUR DE LA SOURIS -> DU MUSCLE | pexie - cardio - myo |  - +
cardiomyoplastie | FAÇONNEMENT  DU CŒUR DE LA SOURIS -> DU MUSCLE | plastie - cardio - myo | plasmo - +
cardiotoxique | À PROPOS  DU CŒUR TOXIQUE | ique - cardio - tox |  - +
carposporophyte | VÉGÉTAL  DU FRUIT DE L'ENSEMENCEMENT / DE LA DISSÉMINATION / DE LA DISPERSION | phyte - carpo - sporo |  - carpo+
caryocérite | INFLAMMATION  DU NOYAU DE LA CIRE | ite - caryo - cér |  - caryo+
caryotypologie | ÉTUDE  DU NOYAU DE L'EMPREINTE | logie - caryo - typo | logo - caryo+
centrencéphalique | À PROPOS  DU CENTRE DU CERVEAU | ique - centr - encéphal |  - centro+
centrosymétrique | MESURAGE  DU CENTRE AVEC | métrique - centro - sy | métro (métron) - centro+syn
cercopithécoïde | APPARENCE  DE LA QUEUE DU SINGE | ïde - cerco - pithéco |  - +
cétoacide | QUI TUE  DU CÉTACÉ SANS | cide - céto - a |  - +a
chimiolithotrophe | NOURRITURE / CROISSANCE  DE LA CHIMIE DE LA PIERRE | trophe - chimio - litho | tropho - chimie+litho
chimionucléolyse | DÉCOMPOSITION  DE LA CHIMIE DU NOYAU | lyse - chimio - nucléo |  - chimie+nucléo
chimioprophylaxie | PROTECTION  DE LA CHIMIE DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - chimio - pro |  - chimie+
chimiotaxinomie | LOI  DE LA CHIMIE DE LA DISPOSITION | nomie - chimio - taxi |  - chimie+
chloroanémie | SANG  CHLORÉ(E) SANS | émie - chloro - an |  - chloro : chlore+an
chloroleucémie | SANG  CHLORÉ(E) BLANC(HE) | émie - chloro - leuc |  - chloro : chlore+
chlorurémie | SANG  CHLORÉ(E) DE L'URINE | émie - chlor - ur |  - chloro : chlore+
cholangiectasie | DILATATION  DE LA BILE DU VAISSEAU | ectasie - chol - angi |  - +
cholangiographie | ÉCRITURE  DE LA BILE DU VAISSEAU | graphie - chol - angio | grapho - +
cholangiométrie | MESURE  DE LA BILE DU VAISSEAU | métrie - chol - angio | métro (métron) - +
cholangiostomie | BOUCHE  DE LA BILE DU VAISSEAU | stomie - chol - angio |  - +
cholangiotomie | DÉCOUPE  DE LA BILE DU VAISSEAU | tomie - chol - angio | tomo - +
cholécystalgie | DOULEUR  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | algie - cholé - cyst | algos - +
cholécystectasie | DILATATION  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | ectasie - cholé - cyst |  - +
cholécystectomie | ABLATION  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | ectomie - cholé - cyst |  - +
cholécystite | INFLAMMATION  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | ite - cholé - cyst |  - +
cholécystogastrostomie | BOUCHE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE DU VENTRE | stomie - cholé - cysto - gastro |  - ++gastro
cholécystographie | ÉCRITURE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | graphie - cholé - cysto | grapho - +
cholécystopathie | MALADIE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | pathie - cholé - cysto | patho (souffrance) - +
cholécystopexie | FIXATION  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | pexie - cholé - cysto |  - +
cholécystorraphie | SUTURE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | rraphie - cholé - cysto |  - +
cholécystostomie | BOUCHE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | stomie - cholé - cysto |  - +
cholécystotomie | DÉCOUPE  DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | tomie - cholé - cysto | tomo - +
cholémimétrie | MESURE  DE LA BILE DE LA MOITIÉ | métrie - cholé - mi | métro (métron) - +mi
chondrocalcinose | MALADIE  DU CARTILAGE DU CALCIUM | nose - chondro - calci | noso - +
chondrodysplasie | FAÇONNEMENT  DU CARTILAGE DU TROUBLE | plasie - chondro - dys | plasmo - +
chondrodystrophie | NOURRITURE / CROISSANCE  DU CARTILAGE DU TROUBLE | trophie - chondro - dys | tropho - +
chondropolydystrophie | NOURRITURE / CROISSANCE  DU CARTILAGE MULTIPLE DU TROUBLE | trophie - chondro - poly - dys | tropho - ++
chromoblastomycose | CHAMPIGNON  DE LA COULEUR DU GERME | mycose - chromo - blasto |  - chromo+
chromocystoscopie | EXAMEN  DE LA COULEUR DE LA VESSIE -> DE LA VÉSICULE | scopie - chromo - cysto | scope - chromo+
chromolithographie | ÉCRITURE  DE LA COULEUR DE LA PIERRE | graphie - chromo - litho | grapho - chromo+litho
chromophillyse | DÉCOMPOSITION  DE LA COULEUR DE L'AMOUR | lyse - chromo - phil |  - chromo+philo
chromophilolyse | DÉCOMPOSITION  DE LA COULEUR DE L'AMOUR | lyse - chromo - philo |  - chromo+philo
chromoptomètre | MESUREUR  DE LA COULEUR DE LA VISION | mètre - chrom(o) - opto | métro (métron) - chromo+
chromotypographie | ÉCRITURE  DE LA COULEUR DE L'EMPREINTE | graphie - chromo - typo | grapho - chromo+
chronobiologie | ÉTUDE  DU TEMPS DE LA VIE | logie - chrono - bio | logo - chrono+bio
chronobiologiste | SPÉCIALISTE  DU TEMPS DE LA VIE | logiste - chrono - bio | logo - chrono+bio
chronocardiographie | ÉCRITURE  DU TEMPS DU CŒUR | graphie - chrono - cardio | grapho - chrono+
chronométreur | AGENT / QUALITÉ  DU TEMPS DE LA MESURE | eur - chrono - métr |  - chrono+métro (métron)
chronométreuse | AGENTE / QUALITÉ  DU TEMPS DE LA MESURE | euse - chrono - métr |  - chrono+métro (métron)
chronopathologie | ÉTUDE  DU TEMPS DE LA MALADIE | logie - chrono - patho | logo - chrono+patho (souffrance)
chronopharmacologie | ÉTUDE  DU TEMPS DU MÉDICAMENT | logie - chrono - pharmaco | logo - chrono+
chronophotographie | ÉCRITURE  DU TEMPS DE LA LUMIÈRE | graphie - chrono - photo | grapho - chrono+
chronophotographique | ÉCRITURE  DU TEMPS DE LA LUMIÈRE | graphique - chrono - photo | grapho - chrono+
chronophysiologie | ÉTUDE  DU TEMPS DU CORPS | logie - chrono - physio | logo - chrono+physio
chronostratigraphie | ÉCRITURE  DU TEMPS DE LA STRATE | graphie - chrono - strati | grapho - chrono+strato (stratus)
chronostratigraphique | ÉCRITURE  DU TEMPS DE LA STRATE | graphique - chrono - strati | grapho - chrono+strato (stratus)
chronotachygraphe | QUI ÉCRIT  DU TEMPS RAPIDE | graphe - chrono - tachy | grapho - chrono+
chronotoxicologie | ÉTUDE  DU TEMPS TOXIQUE | logie - chrono - toxico | logo - chrono+
chrysohédonisme | DOCTRINE / ÉTAT / PROFESSION  DE L'OR DU PLAISIR | isme - chryso - hédon |  - chryso+
cinéangiographie | ÉCRITURE  DU MOUVEMENT DU VAISSEAU | graphie - ciné - angio | grapho - cinèse+
cinécardioangiographie | ÉCRITURE  DU MOUVEMENT DU CŒUR DU VAISSEAU | graphie - ciné - cardio - angio | grapho - cinèse++
cinédensigraphie | ÉCRITURE  DU MOUVEMENT DENSE | graphie - ciné - densi | grapho - cinèse+
cinéhologramme | ÉCRITURE  DU MOUVEMENT ENTIER(E) | gramme - ciné - holo | gramma - cinèse+
cinémyélographie | ÉCRITURE  DU MOUVEMENT DE LA MOELLE | graphie - ciné - myélo | grapho - cinèse+
cinéphilique | À PROPOS  DU MOUVEMENT DE L'AMOUR | ique - ciné - phil |  - cinèse+philo
cinéradiographie | ÉCRITURE  DU MOUVEMENT DE LA RADIO | graphie - ciné - radio | grapho - cinèse+
cinéradiométrie | MESURE  DU MOUVEMENT DE LA RADIO | métrie - ciné - radio | métro (métron) - cinèse+
circonciseuse | AGENTE / QUALITÉ  AUTOUR EN DEÇÀ | euse - circon - cis |  - circon+
cleptoparasite | NOURRITURE  DU VOL À COTÉ | site - clepto - para |  - +para
climatopathologie | ÉTUDE  DE L'INCLINAISON -> DU CLIMAT DE LA MALADIE | logie - climato - patho | logo - +patho (souffrance)
clinoprophylaxie | PROTECTION  DE L'INCLINAISON DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - clino - pro |  - clino : inclinaison+
coatomique | DÉCOUPE  AVEC SANS | tomique - co - a | tomo - +a
cocarcinogène | GÉNÉRATEUR / ORIGINE  AVEC DU CANCER | gène - co - carcino | gène - +carcino : cancer
coccolithophore | PORTEUR  DE LA GRAINE -> DE LA BACTÉRIE DE LA PIERRE | phore - cocco - litho | phore - +litho
codicologie | ÉTUDE  AVEC DOUBLE AVEC | logie - co - di - co | logo - +di+
codicologique | ÉTUDE  AVEC DOUBLE AVEC | logique - co - di - co | logo - +di+
codicologue | SPÉCIALISTE / DISCOURS  AVEC DOUBLE AVEC | logue - co - di - co | logo - +di+
cohomologie | ÉTUDE  AVEC IDENTIQUE | logie - co - homo | logo - +homos
cohomologique | ÉTUDE  AVEC IDENTIQUE | logique - co - homo | logo - +homos
cohomologue | SPÉCIALISTE / DISCOURS  AVEC IDENTIQUE | logue - co - homo | logo - +homos
colatitude | QUALITÉ / ÉTAT  AVEC LARGE | tude - co - lati |  - +
colocystoplastie | FAÇONNEMENT  DU CÔLON DE LA VESSIE -> DE LA VÉSICULE | plastie - colo - cysto | plasmo - +
colofibroscope | VISIONNEUSE  DU CÔLON À L’EXTRÉMITÉ -> DE LA FIBRE | scope - colo - fibro | scope - +
colofibroscopie | EXAMEN  DU CÔLON À L’EXTRÉMITÉ -> DE LA FIBRE | scopie - colo - fibro | scope - +
colorectorraphie | SUTURE  DU CÔLON DU RECTUM | rraphie - colo - recto |  - +
colorectostomie | BOUCHE  DU CÔLON DU RECTUM | stomie - colo - recto |  - +
colpocystographie | ÉCRITURE  DU VAGIN DE LA VESSIE -> DE LA VÉSICULE | graphie - colpo - cysto | grapho - +
colpocystopexie | FIXATION  DU VAGIN DE LA VESSIE -> DE LA VÉSICULE | pexie - colpo - cysto |  - +
colpocystostomie | BOUCHE  DU VAGIN DE LA VESSIE -> DE LA VÉSICULE | stomie - colpo - cysto |  - +
colpocytogramme | ÉCRITURE  DU VAGIN DE LA CELLULE | gramme - colpo - cyto | gramma - +
colpocytologie | ÉTUDE  DU VAGIN DE LA CELLULE | logie - colpo - cyto | logo - +
colpodystrophie | NOURRITURE / CROISSANCE  DU VAGIN DU TROUBLE | trophie - colpo - dys | tropho - +
colpopérinéoplastie | FAÇONNEMENT  DU VAGIN AUTOUR NOUVEAU (-VELLE) | plastie - colpo - péri - néo | plasmo - +péri+
colpopérinéorraphie | SUTURE  DU VAGIN AUTOUR NOUVEAU (-VELLE) | rraphie - colpo - péri - néo |  - +péri+
comanique | À PROPOS  AVEC SANS | ique - com - an |  - +an
comitologie | ÉTUDE  AVEC DU FIL -> DE LA MITOSE | logie - co - mito | logo - +
comparable | QUI PEUT ÊTRE  AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | able - com - par |  - +
comparateur | AGENT  AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ateur - com - par |  - +
comparatrice | AGENTE  AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | atrice - com - par |  - +
complanteur | AGENT / QUALITÉ  AVEC DE LA PLANTE | eur - com - plant |  - +
compostable | QUI PEUT ÊTRE  AVEC APRÈS | able - com - post |  - +
composteur | AGENT / QUALITÉ  AVEC APRÈS | eur - com - post |  - +
composteuse | AGENTE / QUALITÉ  AVEC APRÈS | euse - com - post |  - +
concentrateur | AGENT  AVEC DU CENTRE | ateur - con - centr |  - +centro
concentration | ACTION  AVEC DU CENTRE | ation - con - centr | ation - +centro
concentreuse | AGENTE / QUALITÉ  AVEC DU CENTRE | euse - con - centr |  - +centro
considérable | QUI PEUT ÊTRE  AVEC DE L'ASTRE -> DE LA STUPEUR | able - con - sidér |  - +
considération | ACTION  AVEC DE L'ASTRE -> DE LA STUPEUR | ation - con - sidér | ation - +
copolymère | PARTIE  AVEC MULTIPLE | mère - co - poly |  - +
coprophilique | À PROPOS  DE L'EXCRÉMENT DE L'AMOUR | ique - copro - phil |  - copro+philo
cosmobiologie | ÉTUDE  DE L'UNIVERS DE LA VIE | logie - cosmo - bio | logo - cosmo+bio
cosmopathologie | ÉTUDE  DE L'UNIVERS DE LA MALADIE | logie - cosmo - patho | logo - cosmo+patho (souffrance)
cristalloblastique | À PROPOS  DU CRISTAL DU GERME | ique - cristallo - blast |  - +
cryobiologie | ÉTUDE  FROID(E) DE LA VIE | logie - cryo - bio | logo - +bio
cryoconcentration | ACTION  FROID(E) AVEC DU CENTRE | ation - cryo - con - centr | ation - ++centro
cryoconcentre | CENTRE  FROID(E) AVEC | centre - cryo - con | centro - +
cryoconducteur | QUI CONDUIT  FROID(E) AVEC | ducteur - cryo - con | duc - +
cryoconductrice | QUI CONDUIT  FROID(E) AVEC | ductrice - cryo - con | duc - +
cryoélectrotechnique | TECHNIQUE  FROID(E) DE L'AMBRE -> DE L'ÉLECTRICITÉ | technique - cryo - électro |  - +électricité
cryoextraite | INFLAMMATION  FROID(E) EN DEHORS | ite - cryo - extra |  - +extra
cryorétinopexie | FIXATION  FROID(E) DES RETS -> DE LA RÉTINE | pexie - cryo - rétino |  - +
cryptanalyse | DÉCOMPOSITION  CACHÉ(E) DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - crypt - ana |  - +
cryptoleucémie | SANG  CACHÉ(E) BLANC(HE) | émie - crypto - leuc |  - +
cryptoménorrhée | ÉCOULEMENT  CACHÉ(E) MENSUEL(LE) -> PÉRIODIQUE | rrhée - crypto - méno |  - +
cryptopsychique | À PROPOS  CACHÉ(E) DE L'ÂME | ique - crypto - psych |  - +
cryptopsychisme | DOCTRINE / ÉTAT / PROFESSION  CACHÉ(E) DE L'ÂME | isme - crypto - psych |  - +
cryptozoologie | ÉTUDE  CACHÉ(E) DE L'ANIMAL | logie - crypto - zoo | logo - +
cryptozoologiste | SPÉCIALISTE  CACHÉ(E) DE L'ANIMAL | logiste - crypto - zoo | logo - +
cryptozoologue | SPÉCIALISTE / DISCOURS  CACHÉ(E) DE L'ANIMAL | logue - crypto - zoo | logo - +
cyclanique | À PROPOS  DE LA ROUE SANS | ique - cycl - an |  - cyclo+an
cyclodialyse | DÉCOMPOSITION  DE LA ROUE À TRAVERS | lyse - cyclo - dia |  - cyclo+
cyclodiathermie | CHALEUR  DE LA ROUE À TRAVERS | thermie - cyclo - dia | thermo - cyclo+
cyclomastopathie | MALADIE  DE LA ROUE DU SEIN | pathie - cyclo - masto | patho (souffrance) - cyclo+
cycloradiothérapie | MÉDECINE  DE LA ROUE DE LA RADIO | thérapie - cyclo - radio | thérapie - cyclo+
cystadénome | LOI  DE LA VESSIE -> DE LA VÉSICULE SANS ENLEVER | nome - cyst - a - dé |  - +a+
cystencéphalocèle | TUMEUR / HERNIE  DE LA VESSIE -> DE LA VÉSICULE DU CERVEAU | cèle - cyst - encéphalo |  - +
cystolithotomie | DÉCOUPE  DE LA VESSIE -> DE LA VÉSICULE DE LA PIERRE | tomie - cysto - litho | tomo - +litho
cystomanométrie | MESURE  DE LA VESSIE -> DE LA VÉSICULE DE LA PRESSION | métrie - cysto - mano | métro (métron) - +mano
cystométrogramme | ÉCRITURE  DE LA VESSIE -> DE LA VÉSICULE DE LA MESURE | gramme - cysto - métro | gramma - +métro (métron)
cystoradiographie | ÉCRITURE  DE LA VESSIE -> DE LA VÉSICULE DE LA RADIO | graphie - cysto - radio | grapho - +
cytobactériologique | ÉTUDE  DE LA CELLULE DE LA BACTÉRIE | logique - cyto - bactério | logo - +
cytocolposcopie | EXAMEN  DE LA CELLULE DU VAGIN | scopie - cyto - colpo | scope - +
cytodystrophie | NOURRITURE / CROISSANCE  DE LA CELLULE DU TROUBLE | trophie - cyto - dys | tropho - +
cytofluoromètre | MESUREUR  DE LA CELLULE DU FLUOR | mètre - cyto - fluoro | métro (métron) - +
cytofluorométrie | MESURE  DE LA CELLULE DU FLUOR | métrie - cyto - fluoro | métro (métron) - +
cytopathogène | GÉNÉRATEUR / ORIGINE  DE LA CELLULE DE LA MALADIE | gène - cyto - patho | gène - +patho (souffrance)
cytopathologie | ÉTUDE  DE LA CELLULE DE LA MALADIE | logie - cyto - patho | logo - +patho (souffrance)
cytopathologique | ÉTUDE  DE LA CELLULE DE LA MALADIE | logique - cyto - patho | logo - +patho (souffrance)
cytopathologiste | SPÉCIALISTE  DE LA CELLULE DE LA MALADIE | logiste - cyto - patho | logo - +patho (souffrance)
cytoplasmique | À PROPOS  DE LA CELLULE DE LA FORMATION | ique - cyto - plasm |  - +plasmo
cytostéatonécrose | MORT  DE LA CELLULE DE LA GRAISSE | nécrose - cyto - stéato | nécro - +stéato
cytotaxigène | GÉNÉRATEUR / ORIGINE  DE LA CELLULE DE LA DISPOSITION | gène - cyto - taxi | gène - +
cytotoxique | À PROPOS  DE LA CELLULE TOXIQUE | ique - cyto - tox |  - +
décalorifuge | FUITE  ENLEVER DE LA CHALEUR | fuge - dé - calori |  - +calori
décarboxylation | ACTION  ENLEVER DU CHARBON DU BOIS | ation - dé - carbo - xyl | ation - +carbo+xylo
décarboxyle | BOIS  ENLEVER DU CHARBON | xyle - dé - carbo | xylo - +carbo
décasyllabe | PRISE  DIX AVEC | labe - déca - syl |  - +syn
décatalogue | SPÉCIALISTE / DISCOURS  ENLEVER VERS LE BAS | logue - dé - cata | logo - +
décentration | ACTION  ENLEVER DU CENTRE | ation - dé - centr | ation - +centro
déchromateur | AGENT / QUALITÉ  ENLEVER DE LA COULEUR | eur - dé - chromat |  - +chromo
déchronologie | ÉTUDE  ENLEVER DU TEMPS | logie - dé - chrono | logo - +chrono
déclinomètre | MESUREUR  ENLEVER DE L'INCLINAISON | mètre - dé - clino | métro (métron) - +clino : inclinaison
déconcentration | ACTION  ENLEVER AVEC DU CENTRE | ation - dé - con - centr | ation - ++centro
déconcentre | CENTRE  ENLEVER AVEC | centre - dé - con | centro - +
déconsidération | ACTION  ENLEVER AVEC DE L'ASTRE -> DE LA STUPEUR | ation - dé - con - sidér | ation - ++
décryptable | QUI PEUT ÊTRE  ENLEVER CACHÉ(E) | able - dé - crypt |  - +
décrypteur | AGENT / QUALITÉ  ENLEVER CACHÉ(E) | eur - dé - crypt |  - +
décrypteuse | AGENTE / QUALITÉ  ENLEVER CACHÉ(E) | euse - dé - crypt |  - +
défloration | ACTION  ENLEVER DE LA FLEUR | ation - dé - flor | ation - +flore
défluoration | ACTION  ENLEVER DU FLUOR | ation - dé - fluor | ation - +
dégraphite | INFLAMMATION  ENLEVER DE L'ÉCRITURE | ite - dé - graph |  - +grapho
dégyration | ACTION  ENLEVER QUI TOURNE | ation - dé - gyr | ation - +
déhydrocholique | À PROPOS  ENLEVER DE L'EAU DE LA BILE | ique - dé - hydro - chol |  - +hydro+
déleucocyte | CELLULE  ENLEVER BLANC(HE) | cyte - dé - leuco |  - +
démastique | À PROPOS  ENLEVER DU SEIN | ique - dé - mast |  - +
dématricule | PETIT(E)  ENLEVER DE LA MÈRE | cule - dé - matri | cule - +
démiurge | TRAVAILLEUR  ENLEVER DE LA MOITIÉ | urge - dé - mi | ergo - +mi
démiurgie | TRAVAIL  ENLEVER DE LA MOITIÉ | urgie - dé - mi | ergo - +mi
démiurgique | TRAVAIL  ENLEVER DE LA MOITIÉ | urgique - dé - mi | ergo - +mi
dendrochronologie | ÉTUDE  ARBORESCENT(E) DU TEMPS | logie - dendro - chrono | logo - dendron+chrono
dendrochronologique | ÉTUDE  ARBORESCENT(E) DU TEMPS | logique - dendro - chrono | logo - dendron+chrono
dendroclimatologie | ÉTUDE  ARBORESCENT(E) DE L'INCLINAISON -> DU CLIMAT | logie - dendro - climato | logo - dendron+
dénitration | ACTION  ENLEVER DU NITRE -> AZOTÉ(E) | ation - dé - nitr | ation - +
dénitreur | AGENT / QUALITÉ  ENLEVER DU NITRE -> AZOTÉ(E) | eur - dé - nitr |  - +
dénitrogénation | ACTION  ENLEVER DU NITRE -> AZOTÉ(E) DE LA RACE | ation - dé - nitro - gén | ation - ++gène
dénitrogène | GÉNÉRATEUR / ORIGINE  ENLEVER DU NITRE -> AZOTÉ(E) | gène - dé - nitro | gène - +
déontique | À PROPOS  ENLEVER DE L'ÊTRE | ique - dé - ont |  - +
déphilosophe | SAGE  ENLEVER DE L'AMOUR | sophe - dé - philo | sophia - +philo
déphonation | ACTION  ENLEVER DE LA VOIX | ation - dé - phon | ation - +
déplantation | ACTION  ENLEVER DE LA PLANTE | ation - dé - plant | ation - +
déplasmolyse | DÉCOMPOSITION  ENLEVER DE LA FORMATION | lyse - dé - plasmo |  - +plasmo
déprépare | QUI ENGENDRE  ENLEVER AVANT | pare - dé - pré |  - +
dermaptère | AILE  DE LA PEAU SANS | ptère - derm - a |  - +a
dermatome | COUPURE  DE LA PEAU SANS | tome - derm - a | tomo - +a
dermatomyosite | NOURRITURE  DE LA PEAU DE LA SOURIS -> DU MUSCLE | site - dermato - myo |  - +
dermatopathologie | ÉTUDE  DE LA PEAU DE LA MALADIE | logie - dermato - patho | logo - +patho (souffrance)
